Department Name,College Name,Description,URL,Main Office Location,Main Office Phone,Department Head,Department Administrator
Psychological and Brain Sciences,College of Arts and Sciences,"Drexel University's Department of Psychological and Brain Sciences is an active community of internationally known faculty and student scholars. Our department features state-of-the-art research labs, a training clinic, and a wide array of research and clinical opportunities for our graduate and undergraduate students.",https://drexel.edu/coas/academics/departments-centers/psychology/,"Stratton Hall 3201 Chestnut Street Philadelphia, PA 19104",215.895.1895,Brian Daly,Roxane Staley-Hope
Sociology,College of Arts and Sciences,"Sociology investigates how communities are formed and maintained and how people resist social conventions and inequalities. Drawing from Philadelphia's rich cultural landscape, Drexel's Bachelor of Arts degree in Sociology educates students to examine the interplay between institutions and individuals to better understand how one's life is shaped by society. Students develop strong skills in critical thinking, research design, research methods, data analysis, writing and public speaking in order to address contemporary social challenges.",https://drexel.edu/coas/academics/departments-centers/sociology/,"3201 Arch Street Philadelphia, PA 19104",215.895.1314,Emmanuel Koku,Rachel Koresky
Chemical and Biological Engineering,College of Engineering,"In Chemical Engineering, the science gets applied to real products and real solutions that have the greatest impact on society. The department of chemical engineering at Drexel combines many different concepts and skill sets, and is broadly applicable. Find out more about how a Chemical Engineering degree from Drexel sets the foundation for your success across a spectrum of professions within the chemical and biological engineering field.",https://drexel.edu/engineering/academics/departments/chemical-biological-engineering/,"3101 Ludlow Street CAT Suite 288 Philadelphia, PA 19104",215.895.2227,Cameron Abrams,Samantha Pearsall
"Civil, Architectural and Environmental Engineering",College of Engineering,"The Civil, Architectural and Environmental Engineering Department provides students with a comprehensive and outstanding educational experience. Classes are taught by experienced faculty who specialize in cutting-edge research and practice. Students have proven success of taking what they learn in the classroom and using it in their co-op experience, which provides them with unparalleled achievement in their careers.",https://drexel.edu/engineering/academics/departments/civil-architectural-environmental-engineering/,"3141 Chestnut Street Curtis 251 Philadelphia, PA 19104",215.895.2341,Michael Waring,Noelle Palladino
Electrical and Computer Engineering,College of Engineering,"Electrical and Computer Engineering traditionally includes circuits and electronics, telecommunications, power, and controls. Today, ECE graduates also lead projects in audio, optics, machine learning, biomedical imaging, and nanotechnology; they explore new frontiers in robotics, self-driving cars, Internet of Things, nanotechnology, cybersecurity, wearable electronics, wireless, computer chips, and renewable energy technologies.",https://drexel.edu/engineering/academics/departments/electrical-computer-engineering/,"3120 Market Street Bossone Research Building Room 313 Philadelphia, PA 19104",215.895.2241,Steven Weber,Sherri Hackett
Engineering Leadership and Society,College of Engineering,"The Department of Engineering Leadership and Society seeks to educate a new generation of engineers who are prepared to address the complex challenges of the 21st century with analytical minds and community-focused hearts. Launched in 2020 in response to the leadership and technological challenges of industry as well as areas of national need, the department comprises the disciplines of construction management, engineering management, engineering technology, peace engineering and systems engineering.",https://drexel.edu/engineering/academics/departments/engineering-leadership-society/,"3175 JFK Boulevard University Crossing, Room 110 Philadelphia, PA 19104",215.895.6253,James Tangorra,Gergana Willis
Materials Science and Engineering,College of Engineering,"Materials science and engineering is an interdisciplinary field that forms the foundation for many engineering applications by extending the current supply of materials, improving existing materials, and developing new, superior, and sustainable materials and processes. A key characteristic of the Drexel Materials undergraduate program is experiential learning integrated into the curriculum through co-op, a six-month internship program, as well as Vertically Integrated Projects (VIP) linking graduate, and undergraduate project-based learning and undergraduate research with our award-winning faculty.",https://drexel.edu/engineering/academics/departments/materials-science-engineering/,"3100 Market Street LeBow Engineering Center 344 Philadelphia, PA 19104",215.895.2323,Steven May,Sean Blake
Mechanical Engineering and Mechanics,College of Engineering,"Mechanical engineers use the principles of energy, materials, and mechanics to design and manufacture machines and devices of all types. At Drexel, our mechanical engineering programs explore how matter behaves at extremes and poke at the boundary between human activity and what machines can do. Traditional career pathways have broadened into new opportunities in biomechanics, high-performance computing, infrastructure systems, materials, and frontiers of human-machine interfaces for the benefit of humankind.",https://drexel.edu/engineering/academics/departments/mechanical-engineering/,"3141 Chestnut Street Randell Hall, Room 115 Philadelphia, PA 19104",215.895.2352,Jonathan E. Spanier,Zovi Khrimian
Accounting,LeBow College of Business,"Accounting provides the critical information that guides decision-making at all levels of business. Designed to provide basic conceptual accounting and business knowledge for careers in accounting and taxation, LeBow's accounting coursework integrates accounting, auditing, tax preparation and related topics. Accounting graduates may find career opportunities in public, private and government accounting. Professional accountants are normally certified as public accountants (CPA) or managerial accountants (CMA) after passing professional examinations. LeBow's accounting concentration meets the education requirements needed in most states to sit for these exams.",https://www.lebow.drexel.edu/faculty-research/schools-and-academic-departments/accounting,"3220 Market St, Gerri C. LeBow Hall",,,Vanessa O'Brien
Decision Sciences and MIS,LeBow College of Business,"The Department of Decision Sciences and MIS is home to faculty whose areas of expertise include?business analytics,?management information systems,?operations management,?operations research?and?statistics.?The department offers degrees and educates students with a strong interdisciplinary focus, leading to graduates who excel in a wide variety of fields throughout the business world and beyond.",https://www.lebow.drexel.edu/faculty-research/schools-and-academic-departments/decision-sciences-and-mis,"3220 Market St, Gerri C. LeBow Hall ",215.571.4671,Matthew Reindorp,
School of Economics,LeBow College of Business,"Drexel University's School of Economics provides students with a robust understanding of economic theory and its application to public policy and business including the workings of the market system, major economic institutions, social welfare, and economic development. Our programs also teach skills in econometrics and data analysis that can be used to answer many of society's most pressing questions. Students graduate poised for success in a wide variety of fields, earning some of the highest starting salaries in the region. The School of Economics is home to leading ?faculty? scholars who are dedicated to teaching and mentoring their students. Faculty areas of research expertise include international trade, banking, monetary and fiscal policy, industrial organization, health economics, behavioral economics, public economics and labor economics.",https://www.lebow.drexel.edu/faculty-research/schools-and-academic-departments/school-economics,"3220 Market St, Gerri C. LeBow Hall ",,,Michele Sykes
Finance,LeBow College of Business,"A strong global economy relies upon professionals who have a mastery of how to allocate money to its highest-valued use. The study of finance provides students with an in-depth understanding of how businesses raise and invest capital, how individuals allocate their savings among different investment alternatives and how markets function to equate the demand for capital by firms and the supply of capital by investors. Drexel LeBow's Department of Finance boasts an award-winning group of faculty members, who are leading researchers and dedicated teachers. A ranking of research publications names LeBow's finance faculty among the top 66 worldwide.",https://www.lebow.drexel.edu/faculty-research/schools-and-academic-departments/finance,3220 Market St,215.895.1743,,Letta Brown
General Business,LeBow College of Business,"The Department of General Business is responsible for teaching the general business courses required of LeBow undergraduate students. These courses include Foundations of Business I and II and Business Consulting. The department also offers seminar courses in social entrepreneurship, decision-making and leadership. The general business department's instructors will introduce you to all the functional areas of business, the quantitative aspects of decision-making and the behavioral factors common to all organizational structures.",https://www.lebow.drexel.edu/faculty-research/schools-and-academic-departments/general-business,"3220 Market St, Gerri C. LeBow Hall ",215.895.2122,,Kasimir Jenkins
Legal Studies,LeBow College of Business,"Law is pervasive in all aspects of business and life. It is the mission of the Department of Legal Studies to provide students with the ability to recognize the influence of the law, understand its application and make informed and intelligent decisions regarding the course of action to take. This is not a pre-law program; rather, this brings together business acumen and a foundation of skills to pair business acuity with an understanding of the influence of law and regulation on an organization. LeBow's legal studies coursework emphasizes critical thinking as a tool for problem solving, so students will be able to identify and prevent possible problems and make the tough decisions necessary for business to prosper, working within the always-evolving legal and regulatory environment.",https://www.lebow.drexel.edu/faculty-research/schools-and-academic-departments/legal-studies,"3220 Market St, Gerri C. LeBow Hall ",215.895.2062,,Kimberly Williams
Management,LeBow College of Business,"The Department of Management encompasses the academic disciplines of organizational behavior, organizational management and strategy and technology innovation management (STIM).",https://www.lebow.drexel.edu/faculty-research/schools-and-academic-departments/management,"3220 Market St, Gerri C. LeBow Hall ",215.895.2143,,Rebecca Parker
Marketing,LeBow College of Business,"Marketing is one of the most dynamic areas of business because it focuses on satisfying the ever-changing wants and needs of people. Professional marketers research and identify target audiences, develop products and services, formulate pricing strategies, develop advertising and promotional campaigns, implement methods of distribution and manage ongoing customer relationships. Career opportunities abound in all types of organizations, including manufacturing firms, wholesaling companies, retail stores, service organizations, banking and financial institutions, law and accounting firms, hospitals, colleges and universities, museums, chambers of commerce, professional sports teams, government agencies, charitable foundations, churches and countless other settings. Any organization that seeks to reach a particular audience or consumer group needs the skills of marketers.",https://www.lebow.drexel.edu/faculty-research/schools-and-academic-departments/marketing,"3220 Market St, Gerri C. LeBow Hall ",215.895.2145,,Kimberly Williams
Sport Business,LeBow College of Business,"Drexel LeBow's Sport Business Department has an outstanding faculty which represents both leading researchers and dedicated teachers. We are known for research expertise in intercollegiate athletics, sport and society, and law and economics of sports. Our Sport Business programs, including an undergraduate major in sport business or esport business and MS in Sport Business, offer curricula that combine rigorous academics, industry projects and partnerships with supportive faculty guidance to help students enter the exclusive sport industry. Minors in sport business are also available. A distinct quality of our programs is that we work diligently to connect each individual student with the career of their dreams. Through supportive and connected faculty, co-op opportunities, relevant guest lecturers and partnerships with key regional and national employers, our programs help students build an industry-relevant resume and a strong network before graduation.",https://www.lebow.drexel.edu/faculty-research/schools-and-academic-departments/sport-business,"3220 Market St, Gerri C. LeBow Hall ",215.895.2122,,Kasimir Jenkins
Computer Science,College of Computing & Informatics,"The Department of Computer Science offers degree programs in Artificial Intelligence & Machine Learning, Computer Science, Cybersecurity, Security & Privacy, and Software Engineering, including one of the largest undergraduate majors at Drexel, the BS in Computer Science. Our programs are recognized by employers as some of the best in the region and across the country, and many of our students have been recruited by Microsoft, Amazon, Google, and other nationally and internationally prestigious companies. Our faculty includes world-class researchers across the majors areas of computer science, integrating foundational computing theory with practical applications. This research is funded by major federal organizations (such as NSF, DARPA, ONR, and others) as well as industrial and private sources (including Intel, Microsoft, Lockheed Martin, and others). Our faculty have been recognized by numerous teaching and research awards, including the prestigious NSF CAREER award.",https://drexel.edu/cci/academics/computer-science-department/,3675 Market St,215.895.2000,Jeremy Johnson,
Information Science,College of Computing & Informatics,"The Department of Information Science at CCI educates the next generation of informatics, computer, data and library scientists to solve complex problems in an increasingly information-driven world. CCI leverages faculty research and teaching expertise in areas such as informatics and data science, library and information science, computer security and human-computer interaction to offer core undergraduate and graduate programs in the information science field. Information science faculty regularly publish in the top journals and conferences in the discipline and work closely with students and industry to develop state-of-the-art research in theory and applications. The Information Science faculty produce groundbreaking research that impacts society at local and global levels in areas such as human-centered computing, informatics & data science and library & information science.",https://drexel.edu/cci/academics/information-science-department/,3675 Market St,215.895.2474,Andrea Forte,
Counseling and Family Therapy,College of Nursing and Health Professions,"Our undergraduate, graduate and certificate programs provide unparalleled opportunities for students to learn and excel in the exciting fields of behavioral health counseling and family therapy. Students leave prepared to enter the workforce immediately upon graduation or go on to continue their advanced degrees. We train students to integrate theory and practice, as well as to be both culturally aware and culturally sensitive, socially just clinicians and researchers. Internationally recognized and clinically experienced faculty train students to become successful clinicians and researchers. Our graduates go on to meet the national demand for competent mental health and addictions treatment professionals in a culturally diverse marketplace. We are located at the dynamic Center City Health Sciences Campus, complete with a clinical skills simulation lab, and multiple clinics. Our innovative courses, clinical training, and co-op opportunities offer an unparalleled education for those interested in the helping professions",https://drexel.edu/cnhp/academics/departments/Counseling-and-Family-Therapy/,"60 N. 36th Street, Philadelphia",215.895.2000,,
Creative Arts Therapies,College of Nursing and Health Professions,"The Department of Creative Arts Therapies provides students with the most comprehensive and the highest-quality education in their respective creative arts therapy discipline. Through an integrated blend of classroom, experiential and practical learning in the field, students learn side-by-side with future colleagues in the other creative arts therapy specialties. Program courses are taught by faculty that are national leaders in their respective fields. Students take advantage of Philadelphia's lively arts community, which nourishes the artist, dancer and musician within and enables you to continue practicing your art form while pursuing graduate study.",https://drexel.edu/cnhp/academics/departments/Creative-Arts-Therapies/,"60 N. 36th Street, Philadelphia",215.895.2000,,
Food and Hospitality Management,College of Nursing and Health Professions,"Food and Hospitality Management Department offers undergraduate, graduate and minor programs as well as BS/MBA accelerated programs. We combine rigorous academics, industry projects and partnerships and supportive faculty guidance to help our students enter this exciting industry as leaders. One of the most distinct qualities of all of our programming is the way we uniquely and individually work to connect each student to their ideal career. Through practiced and well-connected faculty, co-op opportunities, relevant guest lecturers and partnerships with key regional and national employers, our programs build an industry-relevant resume and a strong network before graduation. In addition, our central location in Philadelphia, the core of the Mid-Atlantic region between New York, Washington D.C., Boston and Baltimore, provides direct access to some of the most prominent restaurants, event venues and food, beverage and flavor companies in the nation. Just steps from 30th Street Station, the main access point in and out of Philadelphia, our location is ideal for attracting prominent guests and providing access to everything urban areas have to offer. Our guidance, from faculty, expert academic advisors and a committed co-op support team, encourages our students to learn by doing, by networking and by building their resume before graduation.",https://drexel.edu/cnhp/academics/departments/food-hospitality-management/,"60 N. 36th Street, Philadelphia",215.895.2000,,
Health Administration,College of Nursing and Health Professions,"The Health Administration Department offers programs for you to seek employment in administrative or managerial positions in the ever-expanding health care sector. Graduates from our programs go on to work in hospitals, clinics, managed-care companies, health-insurance companies, law and health-marketing firms. Our dedicated and highly-qualified faculty have extensive training and professional experience in their specialty areas. Our students can choose to complete their Health Administration education with in-class and online courses. This flexibility makes it possible for working professionals to complete a Bachelor of Science degree completely with online courses . Students may be interested in an accelerated, dual-degree BS/MPH program with the Dornsife School of Public Health of Drexel University. Qualified students will be able to earn a Bachelor of Science degree in Health Services Administration and a Master of Public Health degree in only five years. The HSAD program is an Associate Member of the Association of Undergraduate Programs in Health Administration (AUPHA).",https://drexel.edu/cnhp/academics/departments/Health-Administration/,"60 N. 36th Street, Philadelphia",215.895.2000,,
Health Sciences,College of Nursing and Health Professions,"The Health Sciences Department is pleased to announce a new Exercise Science major beginning Fall 2022! The new Bachelor of Science (BS) in Exercise Science program integrates a foundation of developmental health and wellness concepts with rigorous training in exercise science and sports medicine. The undergraduate Program in Health Sciences prepares students to enter a wide variety of careers in health care and related professions. Examples of careers and graduate programs our students pursue include physical therapy, occupational therapy, cardiac rehabilitation, physician assistant studies, nursing, exercise physiology, nutrition sciences, clinical research, public health, health advocacy, bioethics, health psychology, and others.",https://drexel.edu/cnhp/academics/departments/Health-Sciences/,"60 N. 36th Street, Philadelphia",215.895.2000,,
Graduate Nursing,College of Nursing and Health Professions,"The College of Nursing and Health Professions Graduate Nursing Department offers various graduate level nursing degree programs and graduate nursing certificate programs to help students advance their careers in nursing and health professions. As a part of the Graduate Nursing Department, you will join a community of clinicians, researchers, faculty, and students in your journey toward advanced nursing practice.  Students can choose from exciting career paths and take courses that span the gamut of nursing education. Whether you want to focus on clinical practice, research, nursing leadership, becoming an entrepreneur, or are interested in a wide variety of nursing education roles, the Drexel Graduate Nursing Department has a program pathway for you. We invite you to explore the degree programs offered through this department that will help you begin your career in nursing. Please explore our web pages for a wealth of information about our programs, students, faculty, research and clinical practice.",https://drexel.edu/cnhp/academics/departments/Nursing-Graduate/,"60 N. 36th Street, Philadelphia",215.895.2000,,
Undergraduate Nursing,College of Nursing and Health Professions,"The College of Nursing and Health Professions Undergraduate Nursing Department offers three exciting programs that will help you launch your career in the health care field. Our BSN Co-op Program is a unique way to earn your degree while participating in Drexel's cooperative education model - dividing your time between class and real-world work experience. We also offer an Accelerated Career Entry Program and an RN/BSN Completion Program. As a part of the Undergraduate Nursing Department, you will join a community of clinicians, researchers, faculty, and students in your journey toward nursing practice. We invite you to explore the degree programs offered through this department that will help you begin your career in nursing. Please explore our web pages for a wealth of information about our programs, students, faculty, research and clinical practice.",https://drexel.edu/cnhp/academics/departments/Nursing-Undergraduate/,"60 N. 36th Street, Philadelphia",215.895.2000,,
Nutrition Sciences,College of Nursing and Health Professions,"The Department of Nutrition Sciences at Drexel University is paving the way for future researchers and registered dietitians. Our Bachelor of Science, master's and PhD programs prepare students to work in a variety of careers that span the gamut from community work and clinical practice to cutting edge research. This is a particularly exciting time for nutritionists since so many individuals are taking responsibility for maintaining and enhancing their health. We are committed to the discovery of new information about the relationships between diet, physical activity, health and disease and the application of such knowledge to individuals, communities and entire populations. In September 2011, the Department of Nutrition Sciences, Drexel Recreation Center and University Wellness collaboratively formed the Drexel Center for Nutrition & Performance (CNP), with the mission of providing evidence-based nutrition advice to the Drexel Community and the greater Philadelphia area. The Center offers year-long internships for selected undergraduate and graduate students from the Department of Nutrition Sciences. This provides exceptional hands-on experience that prepares students for application to practice programs, employment opportunities and graduate programs.",https://drexel.edu/cnhp/academics/departments/Nutrition-Sciences/,"60 N. 36th Street, Philadelphia",215.895.2000,,
Physical Therapy and Rehabilitation Sciences,College of Nursing and Health Professions,"For over 30 years, Drexel's nationally ranked Physical Therapy and Rehabilitation Sciences Programs have provided a rich, technology-infused environment for students to develop skills in evidence-based clinical practice, teaching, and research. Drexel's faculty, through structured instruction and mentorship, strives to develop leaders who excel in health care settings, classrooms and research labs. Drexel's nationally and internationally recognized faculty members are among the most highly respected and productive academicians, researchers and clinicians in the country with expertise in a variety of specialty areas. Through their work, they have developed numerous local, national and international clinical teaching and research collaborations and garnered funding from a variety of different agencies. Drexel's research laboratories and funded researchers provide students with the opportunity to pursue exciting initiatives in multiple areas. Many of our faculty have won numerous teaching awards and over half of the faculty members continue clinical practice. The department's faculty practice, Drexel University Physical Therapy Services, has sites at the 11th Street Family Health Services, in the Drexel University Recreation Center on Drexel's University City Campus and in the Parkway Building on Drexel's Center City Campus. Students in the department's programs get the opportunity to work with faculty in these clinical settings to help refine their patient care skills.  The faculty believe that co-treating patients with developing clinicians helps to foster strong, innovative clinical decision making skills in its graduating clinicians. Additionally, Drexel's clinical practice facilities are closely aligned with its research labs and other disciplines within the college so that faculty and students have the opportunity to make connections between patient care and discoveries in the lab as well as appreciate the interaction amongst the entire healthcare team.  The College of Nursing and Health Professions includes Nurses, Physician Assistants, Couple and Family Therapists, Nutritionists, and Creative Art Therapists.  A 37,000 square foot multidisciplinary clinical and research facility on the center city campus helps facilitate interaction amongst these groups and provides opportunities for each discipline to contribute to optimal patient care.",https://drexel.edu/cnhp/academics/departments/Physical-Therapy-and-Rehabilitation-Sciences/,"60 N. 36th Street, Philadelphia",215.895.2000,,
Physician Assistant,College of Nursing and Health Professions,"The Physician Assistant Department's PA program, one of the nation's oldest and largest, is pledged to providing students with the most current and finest preparatory training available. Employing continuous curricular analysis, assessment of the best clinical practices, and utilization of state-of-the art in educational technologies, program graduates are eminently prepared to undertake their roles as professional health care practitioners. The Physician Assistant profession is one of the fastest growing and highly regarded professions in the country. The United States Bureau of Labor Statistics (BLS) has consistently ranked the profession among the 30 fastest growing occupations. We are committed to providing the education and training needed to enter this exciting job sector. We offer a Physician Assistant master's (PA) program. Please explore our web pages for a wealth of information about our programs, students, faculty, research and clinical practice. The Drexel University Physician Assistant Program (DUPAP) affirms the Drexel College of Nursing and Health Professions Diversity Statement as put forth by the assistant dean of Diversity, Equity and Inclusion. As PA faculty and staff, we commit to explore our role in systems of oppression and strive to continually improve. We recognize our responsibility to support disenfranchised and minoritized communities, remove barriers to success, minimize cognitive burdens and promote wellness for all.",https://drexel.edu/cnhp/academics/departments/Physician-Assistant/,"60 N. 36th Street, Philadelphia",215.895.2000,,
